match_id,season,date,team1,team2,winner,margin,venue,city
1386128,2023/24,2024/01/13,Perth Scorchers,Brisbane Heat,Perth Scorchers,35 runs,Perth Stadium,Perth
1386129,2023/24,2024/01/13,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1386130,2023/24,2024/01/14,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,9 wickets,"Manuka Oval, Canberra",Canberra
1386131,2023/24,2024/01/15,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,7 runs,Melbourne Cricket Ground,Melbourne
1386132,2023/24,2024/01/16,Perth Scorchers,Sydney Sixers,Sydney Sixers,3 wickets,Perth Stadium,Perth
1386134,2023/24,2024/01/19,Sydney Sixers,Brisbane Heat,Sydney Sixers,39 runs,Carrara Oval,Carrara
1386135,2023/24,2024/01/20,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,50 runs,Perth Stadium,Perth
1386136,2023/24,2024/01/22,Brisbane Heat,Adelaide Strikers,Brisbane Heat,54 runs,Carrara Oval,Carrara
1386137,2023/24,2024/01/24,Brisbane Heat,Sydney Sixers,Brisbane Heat,54 runs,Sydney Cricket Ground,Sydney
1443057,2024/25,2024/12/15,Melbourne Stars,Perth Scorchers,Perth Scorchers,6 wickets,Perth Stadium,Perth
1443058,2024/25,2024/12/16,Melbourne Renegades,Sydney Sixers,Sydney Sixers,5 wickets,Sydney Cricket Ground,Sydney
1443059,2024/25,2024/12/17,Adelaide Strikers,Sydney Thunder,Sydney Thunder,2 wickets,"Manuka Oval, Canberra",Canberra
1443060,2024/25,2024/12/18,Melbourne Stars,Brisbane Heat,Brisbane Heat,8 wickets,Melbourne Cricket Ground,Melbourne
1443061,2024/25,2024/12/19,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,6 wickets,"GMHBA Stadium, South Geelong, Victoria",Geelong
1443062,2024/25,2024/12/20,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,15 runs,Adelaide Oval,Adelaide
1443063,2024/25,2024/12/21,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,8 wickets,"Bellerive Oval, Hobart",Hobart
1443064,2024/25,2024/12/21,Sydney Thunder,Sydney Sixers,Sydney Sixers,5 wickets,Sydney Showground Stadium,Sydney
1443065,2024/25,2024/12/22,Adelaide Strikers,Brisbane Heat,Brisbane Heat,3 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1443066,2024/25,2024/12/23,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,2 wickets,"Docklands Stadium, Melbourne",Melbourne
1443067,2024/25,2024/12/26,Melbourne Stars,Sydney Sixers,Sydney Sixers,8 wickets,Sydney Cricket Ground,Sydney
1443068,2024/25,2024/12/26,Perth Scorchers,Brisbane Heat,Perth Scorchers,33 runs,Perth Stadium,Perth
1443069,2024/25,2024/12/27,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,11 runs,Adelaide Oval,Adelaide
1443070,2024/25,2024/12/28,Sydney Thunder,Melbourne Stars,Sydney Thunder,18 runs,"Manuka Oval, Canberra",Canberra
1443071,2024/25,2024/12/29,Brisbane Heat,Sydney Sixers,Sydney Sixers,8 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1443072,2024/25,2024/12/30,Sydney Thunder,Melbourne Renegades,Sydney Thunder,8 runs,Sydney Showground Stadium,Sydney
1443073,2024/25,2024/12/31,Adelaide Strikers,Perth Scorchers,Perth Scorchers,7 wickets,Adelaide Oval,Adelaide
1443074,2024/25,2025/01/01,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,50 runs,"Bellerive Oval, Hobart",Hobart
1443075,2024/25,2025/01/01,Brisbane Heat,Melbourne Stars,Melbourne Stars,5 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1443076,2024/25,2025/01/02,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,5 wickets,"Docklands Stadium, Melbourne",Melbourne
1443078,2024/25,2025/01/03,Perth Scorchers,Sydney Thunder,Sydney Thunder,4 wickets,Perth Stadium,Perth
1443079,2024/25,2025/01/04,Melbourne Renegades,Melbourne Stars,Melbourne Stars,5 wickets,Melbourne Cricket Ground,Melbourne
1443080,2024/25,2025/01/05,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,5 wickets,"Bellerive Oval, Hobart",Hobart
1443081,2024/25,2025/01/06,Sydney Thunder,Brisbane Heat,Brisbane Heat,5 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1443082,2024/25,2025/01/07,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,4 wickets,Perth Stadium,Perth
1443084,2024/25,2025/01/09,Melbourne Stars,Sydney Sixers,Melbourne Stars,16 runs,Melbourne Cricket Ground,Melbourne
1443085,2024/25,2025/01/10,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,6 wickets,"Bellerive Oval, Hobart",Hobart
1443086,2024/25,2025/01/11,Sydney Sixers,Perth Scorchers,Sydney Sixers,14 runs,Sydney Cricket Ground,Sydney
1443087,2024/25,2025/01/11,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,56 runs,Adelaide Oval,Adelaide
1443088,2024/25,2025/01/12,Melbourne Stars,Melbourne Renegades,Melbourne Stars,42 runs,"Docklands Stadium, Melbourne",Melbourne
1443089,2024/25,2025/01/13,Sydney Thunder,Perth Scorchers,Sydney Thunder,61 runs,Sydney Showground Stadium,Sydney
