player,team,format,total_runs,balls_faced,matches,strike_rate
N Wagner,New Zealand,Test,875,1693,58,51.68
S Bau,Papua New Guinea,ODI,874,1483,49,58.93
RR Pant,India,ODI,871,846,27,102.96
KD Mills,New Zealand,ODI,871,988,72,88.16
TT Bresnan,England,ODI,871,984,63,88.52
SB Styris,New Zealand,Test,867,1553,14,55.83
B Lee,Australia,ODI,865,1087,76,79.58
KD Karthik,India,Test,863,1733,20,49.8
TD Paine,Australia,ODI,861,1250,34,68.88
AR Patel,India,ODI,858,969,49,88.54
MG Vandort,Sri Lanka,Test,857,1915,17,44.75
Rameez Shahzad,United Arab Emirates,ODI,848,1118,25,75.85
Haris Sohail,Pakistan,Test,847,1938,15,43.7
L Tucker,Ireland,ODI,844,1045,43,80.77
Shoaib Khan,Oman,ODI,843,1025,31,82.24
SSJ Brooks,West Indies,ODI,842,1150,29,73.22
Naeem Islam,Bangladesh,ODI,842,1246,45,67.58
GH Vihari,India,Test,839,1991,16,42.14
PA Jaques,Australia,Test,836,1568,10,53.32
B Lee,Australia,Test,834,1638,37,50.92
Taijul Islam,Bangladesh,Test,831,2184,54,38.05
VS Solanki,England,ODI,829,1194,33,69.43
DG Bedingham,South Africa,Test,828,1234,15,67.1
VVS Laxman,India,ODI,828,1142,27,72.5
JL Denly,England,Test,827,2094,15,39.49
AL Phehlukwayo,South Africa,ODI,827,996,52,83.03
Mohammad Nadeem,Oman,ODI,827,1319,34,62.7
SHT Kandamby,Sri Lanka,ODI,827,1198,32,69.03
PJ Hughes,Australia,ODI,826,1118,24,73.88
SO Hetmyer,West Indies,Test,825,1118,15,73.79
Khurram Manzoor,Pakistan,Test,817,1829,16,44.67
SM Curran,England,Test,815,1272,23,64.07
JA Rudolph,South Africa,ODI,813,1210,24,67.19
AR McBrine,Ireland,ODI,812,1110,47,73.15
MA Wood,England,Test,811,1150,38,70.52
SS Iyer,India,Test,811,1288,13,62.97
YK Pathan,India,ODI,810,736,41,110.05
NE Bonner,West Indies,Test,803,2347,15,34.21
Kushal Malla,Nepal,ODI,801,925,34,86.59
Soumya Sarkar,Bangladesh,Test,799,1319,15,60.58
SM Warnapura,Sri Lanka,Test,799,1364,13,58.58
MF Maharoof,Sri Lanka,ODI,799,991,60,80.63
AC Voges,Australia,ODI,798,956,27,83.47
CL Cairns,New Zealand,ODI,790,894,30,88.37
Sharjeel Khan,Pakistan,ODI,787,692,24,113.73
MA Butcher,England,Test,785,1629,11,48.19
C Green,Australia,ODI,782,890,27,87.87
KK Jennings,England,Test,781,1842,17,42.4
A Athanaze,West Indies,Test,781,1492,17,52.35
DR Flynn,New Zealand,Test,781,2008,21,38.89
G Kirsten,South Africa,Test,779,1678,9,46.42
TM Odoyo,Kenya,ODI,779,1150,33,67.74
I Sharma,India,Test,778,2560,89,30.39
GD Phillips,New Zealand,Test,775,1086,17,71.36
NRD Compton,England,Test,775,2156,16,35.95
SA Yadav,India,ODI,773,751,35,102.93
Gulsan Jha,Nepal,ODI,772,979,35,78.86
AS Joseph,West Indies,Test,770,1359,39,56.66
N Vanua,Papua New Guinea,ODI,769,974,49,78.95
SK Raina,India,Test,768,1449,18,53.0
Sohaib Maqsood,Pakistan,ODI,768,935,27,82.14
JP Inglis,Australia,ODI,766,736,28,104.08
RP Burl,Zimbabwe,ODI,761,929,33,81.92
CA Ingram,South Africa,ODI,761,935,28,81.39
H Thaker,Canada,ODI,760,1161,25,65.46
TA Boult,New Zealand,Test,759,1267,65,59.91
T Stubbs,South Africa,Test,759,1632,14,46.51
Sami Aslam,Pakistan,Test,758,1941,13,39.05
MS Chapman,New Zealand,ODI,756,732,25,103.28
HD Rutherford,New Zealand,Test,755,1340,16,56.34
MG Bevan,Australia,ODI,755,1177,25,64.15
G Malla,Nepal,ODI,753,1145,33,65.76
Tanzid Hasan,Bangladesh,ODI,753,733,27,102.73
Mohammad Amir,Pakistan,Test,751,1981,36,37.91
W Madhevere,Zimbabwe,ODI,751,973,34,77.18
Saim Ayub,Pakistan,ODI,751,775,17,96.9
Mohammed Shami,India,Test,750,1008,56,74.4
L Siaka,Papua New Guinea,ODI,749,1013,40,73.94
IK Pathan,India,Test,744,1287,16,57.81
