match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1474410,ODI,2024/25,2025/03/07,ICC Men's Cricket World Cup League 2,56,Netherlands,Namibia,Netherlands,53 runs,"Wanderers Cricket Ground, Windhoek",Windhoek
1474411,ODI,2024/25,2025/03/09,ICC Men's Cricket World Cup League 2,57,Canada,Namibia,tie,,"Wanderers Cricket Ground, Windhoek",Windhoek
1474413,ODI,2024/25,2025/03/13,ICC Men's Cricket World Cup League 2,59,Namibia,Netherlands,Netherlands,7 wickets,"Wanderers Cricket Ground, Windhoek",Windhoek
1474414,ODI,2024/25,2025/03/15,ICC Men's Cricket World Cup League 2,60,Namibia,Canada,Namibia,12 runs,"Wanderers Cricket Ground, Windhoek",Windhoek
1478901,ODI,2025,2025/08/19,South Africa tour of Australia,1,South Africa,Australia,South Africa,98 runs,"Cazaly's Stadium, Cairns",Cairns
1478902,ODI,2025,2025/08/22,South Africa tour of Australia,2,South Africa,Australia,South Africa,84 runs,"Great Barrier Reef Arena, Mackay",Mackay
1478903,ODI,2025,2025/08/24,South Africa tour of Australia,3,Australia,South Africa,Australia,276 runs,"Great Barrier Reef Arena, Mackay",Mackay
1478904,ODI,2025/26,2025/10/19,India tour of Australia,1,India,Australia,Australia,7 wickets,Perth Stadium,Perth
1478905,ODI,2025/26,2025/10/23,India tour of Australia,2,India,Australia,Australia,2 wickets,Adelaide Oval,Adelaide
1478906,ODI,2025/26,2025/10/25,India tour of Australia,3,Australia,India,India,9 wickets,Sydney Cricket Ground,Sydney
1479573,ODI,2025/26,2025/11/30,South Africa tour of India,1,India,South Africa,India,17 runs,"JSCA International Stadium Complex, Ranchi",Ranchi
1479574,ODI,2025/26,2025/12/03,South Africa tour of India,2,India,South Africa,South Africa,4 wickets,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur
1479575,ODI,2025/26,2025/12/06,South Africa tour of India,3,South Africa,India,India,9 wickets,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
1481530,ODI,2025,2025/05/06,ICC Men's Cricket World Cup League 2,61,Netherlands,United Arab Emirates,Netherlands,113 runs,"VRA Ground, Amstelveen",Amstelveen
